"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","Check","FD","SD","UP","FW"
"ENG1.1",1,20,1,3,3,3,1,2,3,4,1,3,3,2,1,3,4,3,1,2,2,4,4,4,4,4,3,4,4,NA,1,3,3.25,3.42857142857143
"ENG1.1",2,18,3,4,2,2,2,1,5,5,2,2,4,4,2,3,3,2,2,4,4,3,1,5,2,4,3,5,4,NA,2.2,3.28571428571429,3.5,3
"ENG1.1",2,18,1,4,4,4,1,2,5,4,1,3,5,2,1,3,5,4,1,3,4,4,4,2,4,4,4,3,4,NA,1,3,4.375,3.57142857142857
"ENG1.1",1,20,1,5,4,3,1,4,4,5,2,4,2,5,1,4,3,3,1,5,2,4,4,4,3,4,4,5,4,NA,1.2,4.28571428571429,3.375,4
"ENG1.1",1,20,4,3,4,3,3,3,4,5,2,3,5,3,2,3,2,3,1,3,4,3,2,4,3,3,4,4,4,NA,2.4,3.14285714285714,3.75,3.28571428571429
"ENG1.1",2,20,2,3,2,4,2,1,4,3,1,3,4,4,1,3,4,4,3,2,4,4,3,3,3,4,2,2,5,NA,1.8,2.71428571428571,3.625,3.28571428571429
"ENG1.1",2,19,2,2,5,2,1,4,3,5,2,4,3,4,2,3,2,4,3,3,2,2,4,4,4,5,2,4,3,NA,2,3.57142857142857,2.75,3.85714285714286
"ENG1.1",1,21,2,3,2,3,1,2,4,4,2,3,2,3,1,3,2,3,2,5,3,3,3,4,3,2,2,3,3,NA,1.6,3.14285714285714,2.625,3.14285714285714
"ENG1.1",2,19,1,4,1,4,1,3,2,4,1,4,2,4,1,4,2,5,1,3,1,1,5,5,5,4,2,3,4,NA,1,3.85714285714286,1.875,4.28571428571429
"ENG1.1",2,18,3,1,2,2,3,4,2,2,3,1,2,4,2,4,2,2,1,3,2,4,2,4,2,3,4,3,4,NA,2.4,2.85714285714286,2.75,2.42857142857143
"ENG1.1",2,20,1,4,4,4,2,2,4,2,1,2,4,2,4,2,4,1,2,1,2,4,2,3,2,2,4,4,4,NA,2,2.28571428571429,3.75,2.42857142857143
"ENG1.1",1,20,1,4,1,4,2,2,4,5,1,2,2,3,2,3,4,4,1,3,3,4,4,3,4,4,2,4,4,NA,1.4,3,3,4
"ENG1.1",2,20,3,4,4,4,2,2,4,4,3,2,4,2,2,2,2,3,3,4,2,4,3,4,3,4,3,4,2,NA,2.6,3.14285714285714,3.125,3.28571428571429
"ENG1.1",2,18,1,3,2,3,1,2,4,4,1,2,2,4,2,4,2,3,1,2,4,4,2,3,2,3,2,5,4,NA,1.2,2.71428571428571,3,3.28571428571429
"ENG1.1",1,18,2,4,4,4,1,2,3,4,1,1,1,4,2,2,4,3,1,2,3,3,4,3,2,3,2,3,3,NA,1.4,2.42857142857143,2.875,3.42857142857143
"ENG1.1",1,19,1,3,5,4,1,3,3,4,1,2,5,3,3,4,3,3,2,1,3,5,5,3,3,4,3,4,5,NA,1.6,2.85714285714286,4,3.71428571428571
"ENG1.1",1,19,1,3,2,5,1,2,4,5,1,3,4,4,2,3,4,5,2,2,3,3,5,3,4,3,2,4,4,NA,1.4,2.71428571428571,3.25,4.57142857142857
"ENG1.1",1,20,1,4,1,3,2,2,4,3,1,2,3,2,1,4,4,4,3,3,1,4,4,4,2,3,2,2,2,NA,1.6,3.14285714285714,2.625,2.85714285714286
"ENG1.1",1,24,1,3,1,5,2,2,4,4,1,3,2,3,1,2,3,4,1,2,1,3,5,3,3,3,2,3,4,NA,1.2,2.57142857142857,2.5,3.85714285714286
"ENG1.1",2,19,2,4,2,4,1,2,3,4,2,3,2,5,1,3,4,4,3,3,2,2,3,3,3,3,2,3,3,NA,1.8,3,2.5,3.71428571428571
"ENG1.1",2,20,2,4,5,2,1,1,4,2,2,4,2,1,1,4,2,2,1,2,2,4,2,5,2,5,2,2,2,NA,1.4,3.57142857142857,2.875,1.85714285714286
"ENG1.1",2,21,2,4,4,4,2,1,5,4,2,3,5,4,2,4,5,4,2,3,5,5,4,4,4,4,5,4,5,NA,2,3.28571428571429,4.875,4
"ENG1.1",1,21,2,2,3,5,1,3,5,4,2,1,4,5,2,3,3,2,2,4,1,1,4,4,2,2,1,5,4,NA,1.8,2.71428571428571,2.75,3.85714285714286
"ENG1.1",1,21,1,3,2,3,2,3,5,4,1,2,4,3,2,3,3,3,2,4,2,3,3,3,3,3,2,2,4,NA,1.6,3,3.125,3
"ENG1.1",1,20,1,2,3,1,1,4,1,2,1,2,2,1,4,3,4,1,2,4,2,4,1,1,1,2,3,2,4,NA,1.8,2.57142857142857,2.875,1.28571428571429
"ENG1.1",2,21,2,4,2,2,4,1,4,4,2,2,4,4,2,4,5,4,2,4,2,3,4,5,4,5,4,5,4,NA,2.4,3.57142857142857,3.5,3.85714285714286
"ENG1.1",2,20,1,3,3,2,2,2,3,4,1,3,4,2,1,3,4,2,3,2,3,3,4,4,2,4,3,2,3,NA,1.6,3,3.25,2.57142857142857
"ENG1.1",2,20,4,3,1,2,2,2,2,3,3,3,2,1,3,3,1,2,4,4,2,4,2,4,2,5,3,1,3,NA,3.2,3.42857142857143,2.25,1.85714285714286
"ENG1.1",1,21,1,4,5,2,1,4,5,4,1,4,4,2,1,1,4,4,2,1,2,4,2,4,4,2,2,5,4,NA,1.2,2.85714285714286,3.75,3.28571428571429
"ENG1.1",1,20,1,3,2,4,1,1,4,5,1,3,3,2,1,2,4,4,2,1,2,4,4,4,4,3,4,2,4,NA,1.2,2.42857142857143,3.375,3.57142857142857
"ENG1.1",1,21,1,2,4,4,1,1,5,4,4,3,3,4,4,4,4,3,1,4,2,4,3,4,1,4,2,4,4,NA,2.2,3.14285714285714,3.5,3.28571428571429
"ENG1.1",1,19,1,2,3,2,1,3,3,4,1,2,3,5,2,3,4,4,1,2,2,3,4,4,4,4,3,4,3,NA,1.2,2.85714285714286,3,3.85714285714286
"ENG1.1",2,20,1,4,3,4,1,1,3,5,1,3,1,1,4,3,3,2,1,2,1,4,3,3,1,4,1,1,3,NA,1.6,2.85714285714286,2.375,2.42857142857143
"ENG1.1",1,20,1,3,4,2,1,4,3,3,1,4,2,2,2,5,3,2,1,5,2,3,2,4,2,4,2,4,2,NA,1.2,4.14285714285714,2.625,2.42857142857143
"ENG1.1",1,21,2,2,5,4,1,2,4,5,3,3,4,4,2,2,2,2,3,2,3,4,3,4,2,3,2,5,4,NA,2.2,2.57142857142857,3.5,3.57142857142857
"ENG1.1",1,20,1,3,5,2,3,4,5,3,1,3,3,3,3,4,2,2,4,4,2,4,1,3,2,4,3,4,3,NA,2.4,3.57142857142857,3.375,2.42857142857143
"ENG1.1",1,19,3,4,2,2,3,4,2,2,1,4,2,3,2,2,3,2,3,4,2,3,2,4,3,4,3,3,3,NA,2.4,3.71428571428571,2.5,2.42857142857143
"ENG1.1",2,18,5,3,1,5,5,1,5,4,5,2,2,1,2,1,5,1,3,1,2,4,5,4,1,3,3,1,4,NA,4,2.14285714285714,3.25,2.57142857142857
"ENG1.1",1,20,2,3,4,3,2,4,2,2,1,3,4,1,2,2,2,2,3,4,1,4,5,4,2,4,2,2,4,NA,2,3.42857142857143,2.875,2.42857142857143
"ENG1.1",2,19,1,2,2,4,2,1,4,4,1,2,2,3,2,4,4,2,2,2,2,3,3,3,3,2,2,4,3,NA,1.6,2.28571428571429,2.75,3.28571428571429
"ENG1.2",2,20,2,2,3,2,1,3,3,4,1,2,2,4,1,1,5,4,2,2,3,3,4,3,2,2,2,3,3,NA,1.4,2.14285714285714,3,3.28571428571429
"ENG1.2",2,20,1,3,2,2,1,2,4,3,1,2,2,2,1,3,3,2,1,2,2,2,2,3,2,3,2,2,4,NA,1,2.57142857142857,2.625,2.14285714285714
"ENG1.2",1,21,1,3,4,4,1,1,4,4,1,1,1,2,1,4,4,4,1,1,2,3,3,4,4,4,2,2,4,NA,1,2.57142857142857,3,3.28571428571429
