gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
1,25,2,2,2,5,2,1,4,5,3,2,2,4,2,2,5,4,3,3,2,3,5,4,5,4,2,5,3
1,24,1,3,5,4,1,1,5,5,1,3,3,2,4,4,4,5,1,3,4,3,5,3,4,4,2,4,4
2,52,4,4,5,4,2,2,5,4,2,2,4,4,3,3,4,4,2,2,2,3,4,4,4,4,2,3,4
1,30,1,1,1,3,1,5,5,5,1,1,3,5,1,5,3,4,1,5,2,1,3,3,4,5,2,5,5
2,63,2,5,5,4,1,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
2,28,4,4,2,4,2,1,4,5,4,3,4,3,4,4,4,5,4,3,2,2,2,5,5,4,2,4,3
1,22,4,2,4,4,2,2,4,4,4,2,4,4,2,3,4,4,3,4,2,2,2,3,2,4,2,4,2
2,23,1,3,3,4,1,2,3,4,1,1,2,3,1,4,2,4,1,2,2,1,4,2,5,3,2,3,2
1,22,3,2,3,4,4,2,3,3,3,4,4,2,3,3,3,2,2,3,4,4,3,3,4,2,3,3,3
2,26,1,4,2,4,3,5,2,5,2,4,1,5,1,4,4,5,2,4,5,1,5,3,5,1,2,5,5
1,18,1,5,4,2,1,4,4,4,1,4,1,2,1,5,4,2,1,3,1,1,1,2,1,3,1,4,4
1,40,4,4,2,2,3,2,4,5,3,3,4,4,3,3,2,4,4,4,3,4,3,4,4,4,3,4,3
2,33,2,4,3,4,2,4,4,5,2,4,4,4,2,3,4,4,3,4,4,2,3,4,4,2,2,4,4
2,53,2,4,2,2,1,1,4,5,3,2,2,5,1,3,4,5,4,3,2,2,3,2,4,2,1,4,4
2,40,2,3,4,3,4,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,3,3,3,3
2,18,2,4,2,2,2,4,5,3,4,3,5,2,2,4,4,3,4,5,4,5,3,5,4,5,3,3,2
1,28,2,4,3,4,2,2,4,4,2,3,3,2,2,4,4,3,4,3,3,4,3,3,4,3,2,3,4
2,25,4,5,2,4,2,3,4,5,4,4,4,3,3,2,5,5,2,3,4,1,2,4,4,5,4,4,4
2,60,2,3,3,4,4,3,2,3,4,3,4,3,4,4,3,2,3,3,2,3,4,4,4,3,2,2,4
1,45,2,3,2,1,2,2,2,3,2,3,4,2,3,3,4,3,2,3,2,2,2,3,2,3,3,2,2
2,31,1,3,2,4,2,1,3,5,1,2,1,2,1,1,4,4,3,1,1,2,5,4,5,3,1,4,5
1,44,2,3,3,4,2,2,4,4,2,3,3,4,2,3,4,5,2,4,3,2,4,4,5,3,2,4,3
2,45,1,3,3,5,1,1,3,5,3,3,2,5,1,5,3,5,3,3,1,3,3,5,3,5,3,5,2
2,24,3,2,5,2,3,1,4,2,3,1,4,2,4,4,4,1,2,1,3,4,2,4,1,4,3,1,5
1,34,1,4,2,4,2,3,4,4,2,2,2,5,2,3,2,4,2,4,2,2,4,4,4,4,2,4,4
2,32,3,3,4,5,3,3,4,5,3,1,3,4,3,1,5,5,3,4,3,3,5,1,5,1,3,5,4
1,26,1,3,2,4,1,4,3,5,1,2,1,1,1,4,3,5,1,1,2,3,4,3,5,2,2,4,2
2,31,4,3,2,1,5,1,1,2,5,3,1,1,1,1,4,1,5,1,1,4,2,2,5,1,2,2,5
1,34,2,2,3,5,2,2,3,5,2,1,3,4,2,2,3,5,2,2,3,3,4,3,4,2,2,4,3
2,40,2,2,4,3,2,2,5,5,1,2,3,4,2,3,4,4,2,2,4,3,3,3,3,4,2,4,4
1,24,1,4,5,5,1,4,3,5,1,2,2,4,1,4,2,5,1,3,3,3,4,4,4,3,2,4,2
